FA_meta_ID,FA_type,FA_medium,FA_agar_liquid,FA_temp,FA_time,FA_pH,FA_oxygen,FA_cond,FA_soft,FA_lib,FA_system,FA_instrument,FA_method,FA_cutoff,last_change
451,whole cell analysis,marine agar 2216,agar,25,7,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
452,whole cell analysis,marine agar 2216,agar,25,10,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
453,whole cell analysis,R2A-noble agar,agar,28,7,,aerobic,,,TSBA50,MIS MIDI,,,,2019-01-29 09:47:51
454,whole cell analysis,MA,agar,30,3,,aerobic,,Sherlock 6.2,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
455,whole cell analysis,TSA,agar,25,3,,aerobic,,Sherlock 4.5,TSBA40 4.10,MIS MIDI,,,,2019-01-29 09:47:51
456,whole cell analysis,R2A,agar,28,4,,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
457,whole cell analysis,R2A broth,liquid,30,,7,aerobic,,Sherlock 6.0B,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
458,whole cell analysis,R2A,agar,20,7,7,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
459,whole cell analysis,R2A broth,liquid,30,,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
460,whole cell analysis,R2A,agar,28,,6.5,aerobic,,,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
461,whole cell analysis,AM with peptone,agar,23,4,,anaerobic,,Sherlock 6.1,QTSA1,MIS MIDI,,,1.0,2019-01-29 09:47:51
462,whole cell analysis,MA,agar,25,,,aerobic,,Sherlock 6.1,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
463,whole cell analysis,MA plates,agar,30,3,,,,Sherlock 6.2B,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
464,whole cell analysis,MG plates,agar,25,2,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
465,whole cell analysis,R2A agar plates,agar,28,3,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,,0.1,2019-01-29 09:47:51
466,whole cell analysis,Marine agar 2216,agar,30,3,7,aerobic,,,TSBA6.1,MIS MIDI,,,1.0,2019-01-29 09:47:51
467,whole cell analysis,TSA plates,agar,30,3,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
468,whole cell analysis,MA medium,agar,30,2,8,aerobic,,Sherlock 6.0B,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
469,whole cell analysis,MA plates,agar,30,5,,aerobic,,Sherlock 6.2,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
470,whole cell analysis,TSA,agar,28,3,,aerobic,,Sherlock 2.1,TSBA4.1,MIS MIDI,,,1.0,2019-01-29 09:47:51
471,whole cell analysis,R2A,agar,28,2,,aerobic,,Sherlock 6.0B,TSBA6,MIS MIDI,,,0.1,2019-01-29 09:47:51
472,whole cell analysis,TSA,agar,28,3,,aerobic,,Sherlock 2.11,TSBA40,MIS MIDI,,,1.0,2019-01-29 09:47:51
473,whole cell analysis,R2A,agar,30,3,,aerobic,,Sherlock 6.1,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
474,whole cell analysis,R2A,agar,30,1,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
475,whole cell analysis,MA plates,agar,25,5,,aerobic,,Sherlock 6.2,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
476,whole cell analysis,Alkaline nutrient medium,agar,37,,9,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,,,5.0,2019-01-29 09:47:51
477,whole cell analysis,TSA,agar,28,2,,aerobic,,Sherlock 2.11,TSBA4.1,MIS MIDI,,,1.0,2019-01-29 09:47:51
478,whole cell analysis,MA plates,agar,30,,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
479,whole cell analysis,R2A,agar,28,2,,aerobic,,Sherlock 6.08,TSBA6 6.21,MIS MIDI,,"Sasser, 1990",1.0,2019-01-29 09:47:51
480,whole cell analysis,MA,agar,37,4,,aerobic,,Sherlock 6.1,TSBA40,MIS MIDI,,,1.0,2019-01-29 09:47:51
481,whole cell analysis,LB agar plates,agar,37,1,,aerobic,,Sherlock 6.0B,TSBA60,MIS MIDI,,,0.5,2019-01-29 09:47:51
482,whole cell analysis,R2A,agar,30,3,,aerobic,,Sherlock 6.1,RTSBA6,MIS MIDI,Hewlett Packard,,1.0,2019-01-29 09:47:51
483,whole cell analysis,R2A,agar,25,,,aerobic,,Sherlock 6.0B,TSBA6,MIS MIDI,Agilent Technologies 6850,,1.0,2019-01-29 09:47:51
484,whole cell analysis,R2A,agar,37,3,,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,6890N Agilent Technologies,,0.5,2019-01-29 09:47:51
485,whole cell analysis,3% MH medium,agar,37,,8.5,aerobic,,Sherlock 6.1,TSBA40,MIS MIDI,HP6890A,,,2019-01-29 09:47:51
486,whole cell analysis,R2A,agar,28,,,aerobic,,Sherlock 4.5,TSBA40 4.10,MIS MIDI,6890; Hewlett Packard,,1.0,2019-01-29 09:47:51
487,whole cell analysis,NA,agar,28,2,,aerobic,,,TSBA60,MIS MIDI,"6890, Hewlett packard",,0.5,2019-01-29 09:47:51
488,whole cell analysis,B-CYEalpha agar plate medium,agar,30,3,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,7890A Agilent,,1.0,2019-01-29 09:47:51
489,whole cell analysis,MA,agar,30,3,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,,5.0,2019-01-29 09:47:51
490,whole cell analysis,R2A,agar,25,3,,aerobic,,,TSBA6.1,MIS MIDI,,,1.0,2019-01-29 09:47:51
491,whole cell analysis,Agar plate of BHI amended with 5% sheep blood,agar,37,3,,anaerobic,,Sherlock 6.1,QBA1,MIS MIDI,Agilent Technologies 6890N,,1.0,2019-01-29 09:47:51
492,whole cell analysis,R2A,agar,30,5,,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,"6980, Hewlett Packard",,0.5,2019-01-29 09:47:51
493,whole cell analysis,R2A,agar,25,3,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,Hewlett Packard 5890 Series II,,1.0,2019-01-29 09:47:51
494,whole cell analysis,Tryptic Soy Agar,agar,28,2,,aerobic,,,RTSBA6.0B,MIS MIDI,,,1.0,2019-01-29 09:47:51
495,whole cell analysis,Marine broth,liquid,30,,,,,Sherlock 6.0B,TSBA6,MIS MIDI,"Hewlett Packard, 6890",,1.0,2019-01-29 09:47:51
496,whole cell analysis,MA plates,agar,30,2,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890,,1.0,2019-01-29 09:47:51
497,whole cell analysis,NA-salt plates,agar,28,5,,aerobic,,Sherlock 6.1,TSBA40,MIS MIDI,,,1.0,2019-01-29 09:47:51
498,whole cell analysis,R2A,agar,25,3,,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,"Hewlett Packard, 6890",,1.0,2019-01-29 09:47:51
499,whole cell analysis,R2A,agar,30,3,,aerobic,,Sherlock 4.0,TSBA40,MIS MIDI,HP 6890N; Agilent,,0.1,2019-01-29 09:47:51
500,whole cell analysis,R2A,liquid,28,,,aerobic,,Sherlock 4.5,TSBA40 4.10,MIS MIDI,,,1.0,2019-01-29 09:47:51
501,whole cell analysis,TSA plates,agar,28,2,,aerobic,,Sherlock 6.1,RTSBA6,MIS MIDI,,,0.1,2019-01-29 09:47:51
502,whole cell analysis,R2A,agar,30,2,7,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
503,whole cell analysis,Yeast extract-glucose broth,liquid,27,10,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
504,whole cell analysis,TSA,agar,28,1,,aerobic,,Sherlock 6.0,TSBA60,MIS MIDI,,,0.5,2019-01-29 09:47:51
505,whole cell analysis,MA,agar,30,3,,aerobic,,Sherlock 6.2,TSBA6,MIS MIDI,Agilent Technologies 6890,,1.0,2019-01-29 09:47:51
506,whole cell analysis,R2A,agar,30,3,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
507,whole cell analysis,R2A,agar,30,2,,aerobic,,Sherlock 6.0,TSBA60,MIS MIDI,Hewlett Packard 6890,,,2019-01-29 09:47:51
508,whole cell analysis,R2A broth,liquid,30,2,,aerobic,,Sherlock 6.0B,TSBA6,MIS MIDI,Hewlett Packard 6890,,0.5,2019-01-29 09:47:51
509,whole cell analysis,NA,agar,30,2,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
510,whole cell analysis,Trypticase Soy Agar,agar,28,1,,anaerobic,,Sherlock 3.10,TSBA50,MIS MIDI,Agilent Technologies 6890N,,5.0,2019-01-29 09:47:51
511,whole cell analysis,Basal medium with yeast extract and proteose peptone,agar,37,,,anaerobic,,,TSBA40,MIS MIDI,,,1.0,2019-01-29 09:47:51
512,whole cell analysis,MA plates,agar,30,4,,aerobic,,Sherlock 6.2,TSBA6,MIS MIDI,Hewlett Packard 6890,,1.0,2019-01-29 09:47:51
513,whole cell analysis,R2A agar,agar,25,3,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,Hewlett Packard 5890 Series II,,1.0,2019-01-29 09:47:51
514,whole cell analysis,ISP medium 2 broth,liquid,28,3,,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,,,0.1,2019-01-29 09:47:51
515,whole cell analysis,LB,agar,28,,,aerobic,,Sherlock 6.0B,TSBA60,MIS MIDI,Agilent 6890,,1.0,2019-01-29 09:47:51
516,whole cell analysis,Marine broth medium 2216,liquid,28,1,,aerobic,,Sherlock 4.5,TSBA40,MIS MIDI,,,1.0,2019-01-29 09:47:51
517,whole cell analysis,R2A broth,liquid,30,,,aerobic,,Sherlock 6.0B,TSBA6,MIS MIDI,Hewlett Packard 6890,,1.0,2019-01-29 09:47:51
518,whole cell analysis,R2A agar,agar,28,2,,aerobic,,Sherlock 5.0,TSBA50,MIS MIDI,,,5.0,2019-01-29 09:47:51
519,whole cell analysis,Marine broth 2216 supplemented with 0.2 % (w/v) starch,liquid,28,2,,aerobic,,Sherlock 6.1,TSBA40,MIS MIDI,Agilent 6890N,,1.0,2019-01-29 09:47:51
520,whole cell analysis,MA,agar,30,5,,aerobic,,Sherlock 6.2,TSBA6,MIS MIDI,,,10.0,2019-01-29 09:47:51
521,whole cell analysis,R2A agar,agar,25,3,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,Hewlett Packard 5890 Series II,,1.0,2019-01-29 09:47:51
522,whole cell analysis,7.5 % HM broth,liquid,35,,,aerobic,,Sherlock 6.1,TSBA40 4.10,MIS MIDI,,,0.5,2019-01-29 09:47:51
523,whole cell analysis,TSA plates,agar,30,2,,aerobic,,,TSBA6.1,MIS MIDI,,,,2019-01-29 09:47:51
524,whole cell analysis,MA plates,agar,27,,7,aerobic,,Sherlock 6.2,TSBA6,MIS MIDI,Agilent 6890,,1.0,2019-01-29 09:47:51
525,whole cell analysis,TSA,agar,30,,,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,Agilent 7890A,,1.0,2019-01-29 09:47:51
526,whole cell analysis,TSB,agar,30,2.5,,aerobic,,,TSBA6,MIS MIDI,"6850, Agilent",,0.1,2019-01-29 09:47:51
527,whole cell analysis,NA,agar,20,,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,"6890N, Hewlett Packard",,5.0,2019-01-29 09:47:51
528,whole cell analysis,Trypticase Soy Broth,liquid,28,4,,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
529,whole cell analysis,MA plates,agar,35,2,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,"Hewlett Packard, 6890",,1.0,2019-01-29 09:47:51
530,whole cell analysis,GYP agar plates,agar,37,3,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,,,0.1,2019-01-29 09:47:51
531,whole cell analysis,MLO plates,liquid,28,2,,aerobic,,,TSBA6,MIS MIDI,Agilent 6850,,0.1,2019-01-29 09:47:51
532,whole cell analysis,Marine agar 2216,agar,28,2,,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
533,whole cell analysis,R2A,agar,28,,,aerobic,,Sherlock 6.1,TSBA40 4.10,MIS MIDI,,,1.0,2019-01-29 09:47:51
534,whole cell analysis,PYG,liquid,37,,,anaerobic,,Sherlock 6.1,RTSBA6 6.10,MIS MIDI,,,1.0,2019-01-29 09:47:51
535,whole cell analysis,TSA,agar,30,2,,aerobic,,Sherlock 6.0,TSBA6 6.00,MIS MIDI,,,1.0,2019-01-29 09:47:51
536,whole cell analysis,MA plates,agar,30,3,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
537,whole cell analysis,MA plates,agar,30,5,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
538,whole cell analysis,MA plates,agar,30,7,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
539,whole cell analysis,MA plates,agar,30,9,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
540,whole cell analysis,TSA plates,agar,28,1,,aerobic,,Sherlock 6.1,RTSBA6,MIS MIDI,,,0.1,2019-01-29 09:47:51
541,whole cell analysis,R2A agar,agar,25,,,aerobic,,Sherlock 6.1,TSBA6.1,MIS MIDI,,,1.0,2019-01-29 09:47:51
542,whole cell analysis,TSA,agar,28,3,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,,,0.1,2019-01-29 09:47:51
543,whole cell analysis,NA,agar,30,2,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,Agilent 7890A,,1.0,2019-01-29 09:47:51
544,whole cell analysis,MA,agar,30,3,,aerobic,,,TSBA6,MIS MIDI,Agilent 6890N,,0.5,2019-01-29 09:47:51
545,whole cell analysis,MA plates,agar,30,2,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890,,1.0,2019-01-29 09:47:51
546,whole cell analysis,MA plates,agar,30,3,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890,,1.0,2019-01-29 09:47:51
547,whole cell analysis,MA plates,agar,30,5,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890,,1.0,2019-01-29 09:47:51
548,whole cell analysis,MA plates,agar,30,7,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard,,1.0,2019-01-29 09:47:51
549,whole cell analysis,R2A agar plates,agar,28,1,,aerobic,,Sherlock 6.1,RTSBA6.21,MIS MIDI,,,1.0,2019-01-29 09:47:51
550,whole cell analysis,TSA plates,agar,28,5,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,Agilent 7890,,1.0,2019-01-29 09:47:51
551,whole cell analysis,R2A agar,agar,30,2,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
552,whole cell analysis,TSA,agar,30,3,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
553,whole cell analysis,TSA,agar,30,,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
554,whole cell analysis,TSB,liquid,30,2,,aerobic,,,TSBA6,MIS MIDI,Agilent 6890N,,1.0,2019-01-29 09:47:51
555,whole cell analysis,SSE/HD 1 : 10 agar plates,agar,,18,5.5,aerobic,,Sherlock 6.1,TSBA40,MIS MIDI,,,0.2,2019-01-29 09:47:51
556,whole cell analysis,SSE/HD 1 : 10 agar plates,agar,,18,5.5,aerobic,,Sherlock 6.1,TSBA40,MIS MIDI,,,0.2,2019-01-29 09:47:51
557,whole cell analysis,Tryptic Soy Borth supplemented with 10 % NaCl,liquid,28,2,7,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,Agilent 6850,,0.2,2019-01-29 09:47:51
558,whole cell analysis,ISP 2,liquid,30,4,,aerobic,,Sherlock 6.1,TSBA40,MIS MIDI,,,0.1,2019-01-29 09:47:51
559,whole cell analysis,TSA,agar,28,4,,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,,,0.5,2019-01-29 09:47:51
560,whole cell analysis,YMA,agar,28,5,,aerobic,,,TSBA6,MIS MIDI,Agielnt 7890A,,1.0,2019-01-29 09:47:51
561,whole cell analysis,R2A agar,agar,25,2,,aerobic,,Sherlock 6.0,RTSBA6,MIS MIDI,Hewlett Packard 5890 Series II,,1.0,2019-01-29 09:47:51
562,whole cell analysis,GYS agar,agar,28,,4.5,aerobic,,Sherlock 6.1,TSBA6,MIS MIDI,,"Sasser, 1990",5.0,2019-01-29 09:47:51
563,whole cell analysis,MA plates,agar,30,3,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890,"Sasser, 1990",0.5,2019-01-29 09:47:51
564,whole cell analysis,MA plates,agar,30,5,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890,"Sasser, 1990",0.5,2019-01-29 09:47:51
565,whole cell analysis,Ma plates,agar,30,7,,aerobic,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890,"Sasser, 1990",0.5,2019-01-29 09:47:51
566,whole cell analysis,Ma plates,agar,28,,,aerobic,,Sherlock 6.0,TSBA6,MIS MIDI,,"Sasser, 1990",1.0,2019-01-29 09:47:51
567,whole cell analysis,TYS broth,liquid,20,3,,aerobic,,Sherlock 4.5,TSBA40,MIS MIDI,Hewlett Packard 6890,,1.0,2019-01-29 09:47:51
568,whole cell analysis,MB,liquid,28,0.75,,aerobic,,Sherlock 6.0,TSBA40,MIS MIDI,Agilent 7890A,"Minnikin, 1980",0.1,2019-01-29 09:47:51
569,whole cell analysis,NA,agar,28,2,,aerobic,,,TSBA6.1,MIS MIDI,Hewlett Packard 6890,,1.0,2019-01-29 09:47:51
570,whole cell analysis,R2A agar,agar,30,2,,,,Sherlock 6.0,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
571,whole cell analysis,Tryptic soy agar,agar,,,,,,Sherlock 6.1,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
572,whole cell analysis,Tryptic soy broth,liquid,,,,,,Sherlock 6.0B,TSBA6,MIS MIDI,Hewlett Packard 6890 gas chromatograph,,0.5,2019-01-29 09:47:51
573,whole cell analysis,Tryptic soy agar,agar,28,1,,,,,TSBA6,MIS MIDI,Hewlett Packard 6890 N gas chromatograph,,1.0,2019-01-29 09:47:51
574,whole cell analysis,ISP 2 agar,agar,,5,,,,Sherlock 6.1,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
575,whole cell analysis,Luria-Bertani agar,liquid,28,1,,,,Sherlock 6.1,TSBA40 4.10,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
576,whole cell analysis,Trypric soy agar,agar,22,,,,,,RTSBA6,MIS MIDI,,,,2019-01-29 09:47:51
577,whole cell analysis,Trypric soy agar,agar,22,,,,,,RTSBA6,MIS MIDI,,,,2019-01-29 09:47:51
578,whole cell analysis,R2A agar,agar,15,7,,,,,TSBA6,MIS MIDI,Agilent 6890 gas chromatograph,,1.0,2019-01-29 09:47:51
579,whole cell analysis,R2A agar,agar,28,,,,,Sherlock 5.0,TSBA50,MIS MIDI,,,1.0,2019-01-29 09:47:51
580,whole cell analysis,Tryptic soy agar,agar,28,7,,,,Sherlock 6.1,TSBA6,MIS MIDI,,,0.1,2019-01-29 09:47:51
581,whole cell analysis,Trypticase soy broth,liquid,28,3,,,,Sherlock 4.5,ACTIN6,MIS MIDI,,,0.2,2019-01-29 09:47:51
582,whole cell analysis,Marine agar,agar,37,5,,,,Sherlock 4.5,TSBA40 4.10,MIS MIDI,Agilent 6890N gas chromatograph,,,2019-01-29 09:47:51
583,whole cell analysis,Marine agar 2216,agar,25,3,,,,Sherlock 6.1,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
584,whole cell analysis,Marine agar 2216,agar,25,3,,,,Sherlock 6.1,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
585,whole cell analysis,R2A agar,agar,25,3,,,,Sherlock 6.0,TSBA 6.0,MIS MIDI,,,1.0,2019-01-29 09:47:51
586,whole cell analysis,R2A agar,agar,30,3,,,,Sherlock 6.0,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
587,whole cell analysis,R2A agar,agar,,,,,,Sherlock 6.1,TSBA6.1,MIS MIDI,Hewlett Packard 6890 gas chromatograph,,0.5,2019-01-29 09:47:51
588,whole cell analysis,Tripticase soy agar,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
589,whole cell analysis,Tripticase soy agar,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
590,whole cell analysis,Tripticase soy agar,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
591,whole cell analysis,Tripticase soy agar,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
592,whole cell analysis,Tripticase soy agar,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
593,whole cell analysis,Tripticase soy agar,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
594,whole cell analysis,Tripticase soy agar,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
595,whole cell analysis,Tripticase soy agar,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
596,whole cell analysis,Tripticase soy agar,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,,1.0,2019-01-29 09:47:51
597,whole cell analysis,Marine agar,agar,30,2,,,,Sherlock 6.1,RTSBA6,MIS MIDI,Agilent 7890 gas chromatograph,,10.0,2019-01-29 09:47:51
598,whole cell analysis,ISP 2 agar,agar,28,21,,,,Sherlock 6.2,RTSBA6,MIS MIDI,Agilent 7890B gas chromatograph,,1.0,2019-01-29 09:47:51
599,whole cell analysis,R2A agar,agar,30,3,,,,Sherlock 6.0,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
600,whole cell analysis,Tryptic soy agar,agar,30,2,,,,Sherlock 6.1,TSBA6,MIS MIDI,Hewlett Packard 6890 gas chromatograph,,1.0,2019-01-29 09:47:51
601,whole cell analysis,R2A agar,agar,30,3,,,,Sherlock 6.1,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
602,whole cell analysis,R2A agar,agar,30,3,,,,Sherlock 6.1,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
603,whole cell analysis,Marine agar 2216,agar,28,2,,,,Sherlock 6.1,RTSBA6 6.10,MIS MIDI,,"Sasser, 1990",1.0,2019-01-29 09:47:51
604,whole cell analysis,Tryptic soy agar,agar,28,2,,,,Sherlock 6.1,ITSA1 1.10,MIS MIDI,Hewlett Packard HP 6890 gas chromatograph,"Sasser, 1990",0.1,2019-01-29 09:47:51
605,whole cell analysis,Tryptic soy agar,agar,28,2,,,,Sherlock 6.1,ITSA1 1.10,MIS MIDI,Hewlett Packard HP 6890 gas chromatograph,"Sasser, 1990",0.1,2019-01-29 09:47:51
606,whole cell analysis,Tryptic soy agar,agar,28,3,,,,Sherlock 6.0B,TSBA6,MIS MIDI,Hewlett Packerd 6890 gas chromatograph,"Sasser, 1990",0.2,2019-01-29 09:47:51
607,whole cell analysis,Tryptic soy agar,agar,30,,,,,Sherlock 6.0,TSBA6,MIS MIDI,Hewlett Packard 6890 gas chromatograph,"Sasser, 1990",,2019-01-29 09:47:51
608,whole cell analysis,Triptic soy agar,agar,28,2,,,,Sherlock 6.0B,TSBA6,MIS MIDI,Hewlett Packard gas chromatograph,"Sasser, 1990",0.2,2019-01-29 09:47:51
609,whole cell analysis,R2A agar,agar,30,2,,,,Sherlock 6.0,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
610,whole cell analysis,R2A agar,agar,30,2,,,,Sherlock 6.0,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
611,whole cell analysis,Marine agar 2216,agar,28,,,,,Sherlock 6.0B,TSBA 6.0,MIS MIDI,Agilent 6850 gas chromatograph,"Sasser, 1990",1.0,2019-01-29 09:47:51
612,whole cell analysis,R2A agar,agar,30,5,,,,Sherlock 6.1,TSBA6,MIS MIDI,Hewlett Packard 6890 gas chromatograph,"Sasser, 1990",1.0,2019-01-29 09:47:51
613,whole cell analysis,Marine agar 2216,agar,28,0.5,,,,Sherlock 6.1,TSBA6,MIS MIDI,,"Sasser, 1990",1.0,2019-01-29 09:47:51
614,whole cell analysis,Marine agar 2216,agar,30,,,,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890 gas chromatograph,"Sasser, 1990",1.0,2019-01-29 09:47:51
615,whole cell analysis,Marine agar 2216,agar,30,,,,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890 gas chromatograph,"Sasser, 1990",1.0,2019-01-29 09:47:51
616,whole cell analysis,Marine agar 2216,agar,30,,,,,Sherlock 6.2B,TSBA6,MIS MIDI,Hewlett Packard 6890 gas chromatograph,"Sasser, 1990",1.0,2019-01-29 09:47:51
617,whole cell analysis,R2A agar,agar,25,3,,,,Sherlock 6.1,TSBA6.1,MIS MIDI,,,1.0,2019-01-29 09:47:51
618,whole cell analysis,Nutrient agar,agar,28,3,,,,Sherlock 6.1,TSBA6,MIS MIDI,,"Sasser, 1990",1.0,2019-01-29 09:47:51
619,whole cell analysis,"Basal medium, defined bicarbonate-buffered, sulfate-reduced saltwater medium",agar,28,,,,medium supplemented with 5mM fumarate,Sherlock 6.0,MOORE6,MIS MIDI,,,1.0,2019-01-29 09:47:51
620,whole cell analysis,"Basal medium, defined bicarbonate-buffered, sulfate-reduced saltwater medium",agar,28,,,,medium supplemented with 5mM fumarate,Sherlock 6.0,MOORE6,MIS MIDI,,,1.0,2019-01-29 09:47:51
621,whole cell analysis,R2A broth,liquid,30,,,,,Sherlock 6.0B,TSBA6,MIS MIDI,Hewlett Packard 6890 gas chromatograph,,,2019-01-29 09:47:51
622,whole cell analysis,Tryptic soy agar,agar,28,14,,,,Sherlock 6.1,TSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
623,whole cell analysis,Trypticase soy broth,liquid,30,6,,,,Sherlock 6.1,RTSBA6,MIS MIDI,,,1.0,2019-01-29 09:47:51
